epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8767898678779602,1.5549864768981934,0.01,0.7073941230773926,2.3672027587890625
1,0.8770615458488464,1.5540151596069336,0.01,0.7053150534629822,2.370391845703125
2,0.8778126239776611,1.551220178604126,0.01,0.6771857738494873,2.5322890281677246
3,0.8775494694709778,1.5502758026123047,0.01,0.7368254661560059,2.222667694091797
4,0.8781972527503967,1.5477569103240967,0.01,0.7218664884567261,2.3161022663116455
5,0.8772873878479004,1.55360746383667,0.01,0.7238216996192932,2.3155932426452637
6,0.8776975870132446,1.552225112915039,0.01,0.6982325911521912,2.4219236373901367
7,0.8779969215393066,1.5504822731018066,0.01,0.758841335773468,2.120162010192871
8,0.8780108094215393,1.5491067171096802,0.01,0.4735570251941681,3.9882380962371826
9,0.8779841661453247,1.5504399538040161,0.01,0.7369834184646606,2.219062089920044
10,0.9474357962608337,1.1765720844268799,0.001,0.9453637003898621,1.0584139823913574
11,0.9649507999420166,0.9010143876075745,0.001,0.9473531246185303,0.8753601312637329
12,0.9710874557495117,0.7342671751976013,0.001,0.9465847015380859,0.7582049369812012
13,0.9749047756195068,0.6206225156784058,0.001,0.9444245100021362,0.6845927238464355
14,0.9773498177528381,0.5439069867134094,0.001,0.9402791857719421,0.6453896760940552
15,0.978513240814209,0.49315670132637024,0.001,0.9385544657707214,0.6167219877243042
16,0.9791418313980103,0.4605044424533844,0.001,0.9331839084625244,0.6141525506973267
17,0.9791386127471924,0.4405372142791748,0.001,0.9307419657707214,0.6109636425971985
18,0.9792632460594177,0.42717650532722473,0.001,0.9228441119194031,0.6404111385345459
19,0.9791993498802185,0.4181998670101166,0.001,0.9250768423080444,0.6193540096282959
20,0.97938472032547,0.41180387139320374,0.001,0.9200392961502075,0.6357061862945557
21,0.9798598885536194,0.4058716595172882,0.001,0.9062201380729675,0.6932228207588196
22,0.9798279404640198,0.4025197923183441,0.001,0.9176784753799438,0.630301296710968
23,0.9800793528556824,0.3985591530799866,0.001,0.9191470146179199,0.6329326629638672
24,0.9801507592201233,0.3962828814983368,0.001,0.9234033226966858,0.6038086414337158
